Date,Open,High,Low,Close,Adj Close,Volume
6/1/2018,615.200012,623.125,608.599976,610.400024,523.760864,4998356
6/4/2018,610.549988,621.5,606,619.700012,531.740845,4270156
6/5/2018,621,621,608.5,610.424988,523.782288,4710862
6/6/2018,612.599976,620.775024,610.025024,618.724976,530.904236,4038184
6/7/2018,619,629,619,626.224976,537.3396,6676226
6/8/2018,624,631,623.025024,630.025024,540.600342,6459878
6/11/2018,632.775024,635,627.525024,631.200012,541.608643,5171290
6/12/2018,632.875,635.625,625.224976,629.25,539.935364,7839820
6/13/2018,633.400024,642,633.400024,637.400024,546.928528,5766928
6/14/2018,626.5,626.5,617.049988,619.849976,536.074707,7598848
6/15/2018,618.5,645.75,617.5,640.625,554.041809,19957760
6/18/2018,642,645.625,631.174988,633.700012,548.052856,8214846
6/19/2018,631.5,631.700012,619.025024,620.799988,536.896301,7545700
6/20/2018,624.25,626.174988,619,621.575012,537.56665,5371802
6/21/2018,622.974976,628.25,618,623.275024,539.036804,5798790
6/22/2018,621.5,627.75,620.599976,623.924988,539.598877,4343118
6/25/2018,628.575012,639.400024,627,636.224976,550.236511,7731178
6/26/2018,634.5,641.950012,633.125,638.924988,552.571594,4483504
6/27/2018,641.974976,646.724976,632.799988,635,549.177185,6952142
6/28/2018,638.150024,649,638.125,644.799988,557.652649,10996818
6/29/2018,649.025024,657.5,641.625,653.599976,565.263123,9966600
7/2/2018,657,670,657,667.349976,577.154846,4830144
7/3/2018,665.950012,678.950012,665.875,676.875,585.392517,8127452
7/4/2018,676.025024,676.325012,669.424988,672.599976,581.695374,5025722
7/5/2018,673.549988,673.625,634.049988,642,555.23114,17019902
7/6/2018,645.125,650.924988,634.5,642.125,555.339172,11215356
7/9/2018,648.5,651.5,639.525024,649.424988,561.652527,6644998
7/10/2018,654.25,657.724976,647.150024,650.700012,562.755127,5974488
7/11/2018,658.775024,671.049988,645.674988,660.224976,570.992859,11899832
7/12/2018,663.049988,663.549988,642.224976,647.174988,559.706665,13272240
7/13/2018,657.5,665.799988,649.174988,658.700012,569.674072,19496158
7/16/2018,658.700012,692.200012,643.849976,666.424988,576.354919,35344680
7/17/2018,664.849976,674.75,656.349976,663.950012,574.214355,11161690
7/18/2018,669.900024,671.700012,657,661.275024,571.901001,6919016
7/19/2018,661.5,665.950012,654.549988,658.349976,569.371216,5118864
7/20/2018,663,683.575012,660.650024,674.049988,582.949402,11705738
7/23/2018,676.075012,684,668.125,677.974976,586.343872,7675702
7/24/2018,687.200012,691.200012,678,688.575012,595.51123,6172246
7/25/2018,689.5,696.900024,682.724976,691.875,598.365234,6936922
7/26/2018,689.275024,695.200012,684.599976,686.625,593.824768,7362218
7/27/2018,686.599976,694.5,684.150024,686.724976,593.911255,6493232
7/30/2018,685,686.5,674,675.5,584.203369,6409970
7/31/2018,674.275024,685,667.775024,682.549988,590.300415,7943996
8/1/2018,681.900024,684.224976,675.5,677.025024,585.522278,4675706
8/2/2018,679.799988,683.375,675.075012,676.825012,585.349304,5940742
8/3/2018,683.099976,683.099976,678,682.049988,589.868103,3970390
8/6/2018,683.025024,687.5,673.75,680.325012,588.376343,6178930
8/7/2018,687,689.974976,680.325012,683.974976,591.532776,7351528
8/8/2018,685.900024,686.25,676.650024,681.375,589.284302,3992358
8/9/2018,686.825012,694.724976,686.825012,689.974976,596.721985,6409524
8/10/2018,692.900024,694.5,686.525024,692.724976,599.100403,4779520
8/13/2018,695,704.924988,689.349976,704.375,609.17572,9979746
8/14/2018,706.974976,712.275024,702,704.150024,608.981323,6151320
8/16/2018,707.474976,717.450012,705.625,714.775024,618.170288,6626774
8/17/2018,715.450012,718.825012,711.5,715.174988,618.516174,6390408
8/20/2018,694,703.974976,686.75,692.125,598.58136,16101876
8/21/2018,695,698,686.875,691.974976,598.451599,8361482
8/23/2018,696.5,700.75,692.674988,698.700012,604.267822,7717182
8/24/2018,698.25,700.950012,688.049988,689.150024,596.008545,7053000
8/27/2018,691.5,709.974976,690.700012,707.700012,612.051514,7012950
8/28/2018,708.599976,719.200012,705.75,712.349976,616.072937,6496890
8/29/2018,716.799988,716.799988,702.575012,705.049988,609.759583,5646496
8/30/2018,706.400024,710.775024,698.075012,708.099976,612.397278,11507962
8/31/2018,712.549988,727.150024,710.549988,720.549988,623.164673,10875864
9/3/2018,724.5,733.950012,715,717.125,620.202576,10976328
9/4/2018,722,748.5,716,737.150024,637.521179,15370124
9/5/2018,741.950012,744.049988,725.400024,729.900024,631.251038,8658978
9/6/2018,732.549988,735.5,724.099976,727.150024,628.872681,5598659
9/7/2018,734.349976,735.150024,723.799988,732.799988,633.758972,6510605
9/10/2018,737.75,747,729.400024,730.849976,632.072693,5629871
9/11/2018,735.900024,744.75,732,734.299988,635.056396,6963561
9/12/2018,744.400024,746.5,736.25,742.900024,642.49408,4636617
9/14/2018,741.900024,745,729.049988,733.700012,634.537476,7896514
9/17/2018,735,740,724.599976,725.950012,627.8349,5427054
9/18/2018,730,730,717,719.099976,621.910706,7729732
9/19/2018,727,727,713.200012,719.75,622.472778,4849498
9/21/2018,713.849976,717.400024,692,705.299988,609.975647,14350769
9/24/2018,706.5,729.950012,706.5,718.25,621.175476,8637881
9/25/2018,718.25,736,717,726.200012,628.050964,9602273
9/26/2018,731.200012,731.849976,712,717.849976,620.829529,6599606
9/27/2018,722,730.799988,717.450012,724.799988,626.840332,14592616
9/28/2018,721,734.549988,715.200012,730.049988,631.380615,7490031
10/1/2018,737.5,754.900024,733,746.650024,645.737183,8252398
10/3/2018,743.799988,751.950012,726.299988,728.5,630.040222,7792464
10/4/2018,728.5,729.75,702.5,707.200012,611.619019,6173037
10/5/2018,713,731.5,709.299988,724.599976,626.667236,8543578
10/8/2018,725.049988,728.700012,709.25,714.450012,617.889099,7259306
10/9/2018,717.099976,722.400024,702.650024,717.75,620.743042,6777212
10/10/2018,719.900024,719.900024,695.400024,700.450012,605.781189,8866251
10/11/2018,685,692.900024,663.299988,673.349976,582.343994,10985897
10/12/2018,676.400024,684.049988,661.5,678.799988,587.057373,8909221
10/15/2018,688.599976,705,681.5,698.799988,604.354248,6222176
10/16/2018,710,713.900024,689.400024,695.25,601.284119,11588963
10/17/2018,710,721.799988,701.349976,705.349976,610.018982,20360697
10/19/2018,687,687.700012,678,683.549988,591.165466,10421001
10/22/2018,688.700012,695.049988,673.799988,679.950012,588.051941,6672840
10/23/2018,675.950012,682,653.299988,657.599976,568.722595,9041701
10/24/2018,663,666.5,647.150024,649.799988,561.976807,7058164
10/25/2018,643,656.349976,636.25,648.75,567.178711,8270469
10/26/2018,645.299988,648.700012,629.900024,633.599976,553.933594,5464141
10/29/2018,633.700012,650.549988,631.5,644.75,563.681702,7137446
10/30/2018,641.099976,663.799988,637.450012,659.599976,576.664429,8793411
10/31/2018,663.900024,692.950012,663.049988,686.400024,600.094788,11947995
11/1/2018,689.700012,689.700012,659.599976,666.700012,582.871765,5860244
11/2/2018,665.950012,675.799988,660.099976,662.25,578.981384,6654067
11/5/2018,663.5,668.599976,657,666,582.259766,5799426
11/6/2018,667.900024,675,660.650024,666.450012,582.653259,6975525
11/7/2018,673,677.5,672,675.5,590.565247,758956
11/9/2018,679,679,655.5,659.5,576.577026,9694143
11/12/2018,666,676.400024,662.299988,664.200012,580.686096,7118080
11/13/2018,663.5,667.75,656.299988,665.700012,581.997498,4137808
11/14/2018,665.700012,665.700012,640.5,653.200012,571.069214,7323026
11/15/2018,654,666,646.700012,656.400024,573.866943,5513390
11/16/2018,659.900024,662.5,644.200012,650.849976,569.014648,8583785
11/19/2018,659,662,649.25,651.700012,569.757813,6018930
11/20/2018,651.700012,656,640.099976,641.400024,560.752869,5384830
11/21/2018,640,640.049988,612.099976,619.099976,541.256714,14359086
11/22/2018,622.25,628.150024,616.75,620.75,542.699219,6632975
11/26/2018,621,628,599.849976,621.450012,543.311279,15075209
11/27/2018,625.5,641,625.299988,638.900024,558.567261,12285851
11/28/2018,640.950012,668.700012,640,666.400024,582.609497,17719890
11/29/2018,671,674.900024,658.799988,661.049988,577.932129,13399070
11/30/2018,661,672,660.950012,667.450012,583.527405,10445773
12/3/2018,673.150024,679,665.950012,670.349976,586.062744,8260890
